Date;Date de valeur;Débit;Crédit;Libellé;Solde
15/02/2026;15/02/2026;;680,00;VIR SEPA MME CLAIRE MARTIN LOYER FEV 2026 7123456789012345;4520,00
10/02/2026;10/02/2026;;125,50;REMBOURSEMENT FRAIS BANCAIRES;3840,00
05/02/2026;05/02/2026;;680,00;VIR SEPA MME CLAIRE MARTIN LOYER JANV 2026 6128112502771877;3714,50
28/01/2026;28/01/2026;;2500,00;VIR SALAIRE ENTREPRISE DEMO SAS;3034,50
06/01/2026;06/01/2026;;680,00;VIR INST MME CLAIRE MARTIN LOYER JAN 2026 6128112502771877;534,50
05/12/2025;05/12/2025;;680,00;VIR INST MME CLAIRE MARTIN LOYER DEC 5363133704368111;1200,00
04/11/2025;04/11/2025;;680,00;VIR SEPA CLAIRE MARTIN LOYER NOV 2025 5182131946810418;520,00
07/10/2025;07/10/2025;;340,00;VIR LOYER MARTIN ACOMPTE OCT 10278-20-25280020029762;840,00
15/09/2025;15/09/2025;;680,00;VIR SEPA MME CLAIRE MARTIN LOYER SEPT 2025 9098765432101234;500,00
21/08/2025;21/08/2025;;650,00;VIR SEPA MME CLAIRE MARTIN LOYER AOUT 10278-20-25233010009141;820,00
